Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Dosa,1.0,1.0,0.0,Veg,165.0,6.0,4.0,1.8,150.0,50.0,300.0,100.0,30.0,0.0,1.0
Idli,1.0,1.0,0.0,Veg,140.0,2.0,3.0,1.2,100.0,30.0,250.0,90.0,28.0,0.0,0.5
Poha,1.0,0.0,0.0,0,130.0,1.5,2.6,3.16,1.0,201.0,117.0,26.9,1.1,0.0,0.5
Paneer Tikka,1.0,1.0,0.0,Veg,265.0,20.0,15.0,2.0,200.0,300.0,500.0,250.0,5.0,1.2,4.0
Dal Tadka,0.0,1.0,1.0,Veg,180.0,10.0,12.0,2.5,150.0,120.0,400.0,200.0,22.0,0.0,3.0
Butter Chicken,0.0,1.0,1.0,Non-Veg,490.0,30.0,35.0,3.2,250.0,100.0,700.0,300.0,10.0,0.0,5.0
Chole Bhature,0.0,1.0,1.0,Veg,450.0,25.0,20.0,4.1,220.0,200.0,800.0,350.0,15.0,0.0,6.0
Dosa,1.0,1.0,0.0,Veg,165.0,6.0,4.0,1.8,150.0,50.0,300.0,100.0,30.0,0.0,1.0
Idli,1.0,1.0,0.0,Veg,140.0,2.0,3.0,1.2,100.0,30.0,250.0,90.0,28.0,0.0,0.5
Sambhar,0.0,1.0,1.0,Veg,120.0,5.0,6.0,1.5,120.0,50.0,400.0,150.0,20.0,0.0,2.0
Pani Puri,0.0,1.0,1.0,Veg,300.0,10.0,5.0,2.1,110.0,60.0,500.0,200.0,35.0,0.0,3.0
Rajma Chawal,0.0,1.0,1.0,Veg,350.0,8.0,10.0,3.0,200.0,80.0,500.0,300.0,40.0,0.0,4.0
Palak Paneer,1.0,1.0,1.0,Veg,144.0,7.9,5.9,0.88,331.0,90.0,104.0,45.0,9.1,1.0,7.0
Aloo Paratha,1.0,1.0,1.0,Veg,384.0,5.5,2.3,1.84,117.0,149.0,347.0,23.0,4.9,2.0,5.5
Poha,1.0,0.0,1.0,Non-Veg,213.0,16.2,13.9,1.54,299.0,75.0,435.0,49.0,5.4,0.5,8.1
Upma,1.0,1.0,1.0,Veg,276.0,11.0,7.4,2.65,155.0,506.0,330.0,41.0,1.9,1.7,0.2
Biryani,1.0,0.0,0.0,Veg,344.0,7.2,5.9,1.03,77.0,389.0,439.0,11.0,7.4,0.2,7.4
Kadhi Pakora,0.0,0.0,1.0,Non-Veg,200.0,14.5,21.5,1.57,397.0,548.0,299.0,60.0,1.3,0.2,7.3
Dhokla,1.0,0.0,0.0,Veg,477.0,26.4,22.0,0.64,378.0,345.0,229.0,34.0,3.2,0.1,3.7
Misal Pav,1.0,1.0,0.0,Non-Veg,187.0,16.1,12.1,1.2,202.0,170.0,328.0,25.0,2.1,0.8,3.6
Vada Pav,0.0,1.0,0.0,Non-Veg,428.0,22.9,9.8,3.52,157.0,712.0,417.0,56.0,5.6,0.5,9.4
Baingan Bharta,0.0,1.0,1.0,Non-Veg,319.0,6.8,23.2,1.17,368.0,552.0,168.0,57.0,6.7,1.2,6.2
Matar Paneer,0.0,0.0,1.0,Veg,219.0,22.6,5.5,1.77,375.0,584.0,495.0,50.0,8.1,1.4,9.0
Roti,1.0,0.0,0.0,Veg,393.0,22.6,22.8,0.99,297.0,621.0,387.0,10.0,5.4,0.9,0.4
Naan,0.0,1.0,0.0,Non-Veg,119.0,24.1,8.9,2.6,219.0,749.0,393.0,32.0,2.6,1.1,6.3
Thepla,0.0,1.0,0.0,Veg,452.0,4.0,6.6,4.97,300.0,364.0,285.0,18.0,6.9,0.8,6.9
Litti Chokha,0.0,0.0,1.0,Veg,328.0,20.2,7.0,4.49,89.0,179.0,108.0,26.0,4.6,0.6,8.6
Pav Bhaji,0.0,0.0,1.0,Veg,444.0,28.5,3.5,4.25,64.0,479.0,243.0,29.0,6.6,1.6,4.0
Kheer,0.0,1.0,0.0,Non-Veg,100.0,27.5,3.7,2.68,70.0,129.0,363.0,20.0,8.8,0.6,3.6
Gajar Halwa,1.0,0.0,0.0,Veg,411.0,20.6,8.6,0.92,239.0,789.0,445.0,13.0,4.5,0.2,2.3
Jalebi,0.0,1.0,1.0,Veg,109.0,18.7,18.8,0.5,279.0,677.0,303.0,37.0,9.4,0.6,7.1
Rasgulla,0.0,0.0,0.0,Non-Veg,159.0,21.4,22.7,4.15,221.0,797.0,320.0,33.0,2.7,0.8,1.8
Gulab Jamun,0.0,0.0,1.0,Veg,190.0,22.3,23.0,4.1,303.0,278.0,464.0,16.0,8.3,1.4,8.0
Malai Kofta,1.0,0.0,1.0,Non-Veg,351.0,25.8,13.3,1.76,188.0,212.0,260.0,26.0,8.4,1.8,8.0
Pongal,0.0,1.0,1.0,Veg,447.0,20.0,2.4,2.12,269.0,86.0,112.0,45.0,8.4,0.3,8.1
Dahi Puri,0.0,0.0,0.0,Non-Veg,462.0,14.3,20.7,2.18,398.0,345.0,127.0,15.0,7.2,0.5,4.0
Bhindi Masala,0.0,1.0,1.0,Non-Veg,408.0,11.8,14.4,2.62,216.0,235.0,402.0,51.0,9.9,0.9,7.4
Aloo Gobi,0.0,0.0,0.0,Non-Veg,268.0,19.4,6.8,2.87,127.0,104.0,199.0,41.0,8.9,1.9,2.9
Keema,1.0,1.0,0.0,Veg,107.0,22.6,18.6,4.95,175.0,360.0,125.0,59.0,5.6,1.5,8.4
Fish Curry,0.0,1.0,0.0,Non-Veg,141.0,20.0,23.6,0.6,71.0,520.0,489.0,23.0,4.4,0.4,9.3
Tandoori Chicken,0.0,1.0,1.0,Non-Veg,184.0,22.3,12.7,1.81,260.0,203.0,354.0,34.0,7.1,1.1,0.2
Pesarattu,0.0,1.0,0.0,Non-Veg,220.0,27.5,10.6,2.94,88.0,615.0,307.0,27.0,5.9,0.3,2.8
Makki di Roti,0.0,0.0,0.0,Non-Veg,270.0,7.1,15.2,1.29,119.0,404.0,251.0,16.0,3.9,0.6,4.9
Sarson da Saag,1.0,1.0,1.0,Veg,401.0,7.0,13.9,2.51,353.0,141.0,409.0,14.0,6.2,0.6,5.9
Modak,1.0,1.0,1.0,Veg,412.0,6.1,15.1,0.97,341.0,295.0,130.0,55.0,3.8,1.8,8.0
Basundi,1.0,0.0,0.0,Veg,134.0,4.6,11.1,0.83,215.0,755.0,439.0,57.0,2.0,0.6,1.4
Kharabath,1.0,1.0,0.0,Veg,327.0,2.3,14.8,4.95,367.0,92.0,297.0,54.0,2.7,1.7,6.1
Sev Puri,1.0,0.0,0.0,Non-Veg,289.0,4.2,18.9,4.67,232.0,636.0,179.0,42.0,7.7,1.0,2.1
Egg Curry,1.0,1.0,0.0,Veg,232.0,25.6,21.7,3.67,304.0,726.0,278.0,16.0,6.8,0.9,8.2
Vegetable Pulao,1.0,1.0,1.0,Veg,312.0,13.2,6.4,1.15,315.0,298.0,232.0,54.0,9.3,0.4,4.7
Chana Masala,1.0,1.0,0.0,Non-Veg,241.0,14.2,21.9,3.04,62.0,59.0,251.0,34.0,9.8,1.8,6.7
Mysore Pak,0.0,0.0,1.0,Veg,145.0,16.6,9.7,4.1,83.0,706.0,454.0,43.0,1.6,0.3,8.0
Shahi Paneer,1.0,1.0,1.0,Veg,179.0,10.5,21.2,1.32,181.0,406.0,180.0,29.0,4.1,0.5,7.0
Chicken 65,0.0,1.0,0.0,Veg,391.0,9.8,22.0,4.59,50.0,236.0,256.0,13.0,4.5,0.3,8.0
Mutton Rogan Josh,1.0,0.0,1.0,Non-Veg,483.0,9.0,14.2,3.55,50.0,399.0,423.0,19.0,6.2,0.1,7.6
Hyderabadi Biryani,1.0,1.0,1.0,Veg,138.0,14.0,17.0,0.67,185.0,448.0,293.0,28.0,1.1,1.8,7.9
Malabar Parotta,1.0,0.0,0.0,Veg,466.0,27.6,3.9,1.56,260.0,670.0,237.0,13.0,4.3,1.6,7.6
Appam,1.0,0.0,1.0,Non-Veg,248.0,27.4,22.9,4.56,220.0,737.0,392.0,46.0,3.3,0.8,3.7
Kozhukattai,1.0,1.0,1.0,Non-Veg,315.0,17.1,15.3,3.79,76.0,480.0,229.0,53.0,9.3,0.9,5.1
Kachori,0.0,0.0,1.0,Veg,362.0,16.9,11.6,3.94,371.0,167.0,428.0,55.0,9.4,0.1,6.8
Methi Thepla,1.0,1.0,0.0,Veg,267.0,4.2,6.2,4.33,252.0,744.0,147.0,21.0,7.0,1.9,6.3
Sabudana Khichdi,0.0,0.0,1.0,Veg,316.0,22.0,7.1,1.91,118.0,266.0,149.0,14.0,7.9,1.6,2.7
Besan Chilla,1.0,0.0,0.0,Non-Veg,116.0,7.3,4.1,2.03,84.0,337.0,317.0,17.0,9.9,0.4,6.4
Masoor Dal,1.0,1.0,0.0,Veg,422.0,28.0,18.8,4.81,352.0,172.0,399.0,57.0,9.1,0.9,5.6
Lauki Kofta,1.0,0.0,0.0,Non-Veg,313.0,17.3,2.6,1.9,239.0,264.0,360.0,37.0,7.1,1.3,7.5
Pesarattu,0.0,1.0,1.0,Veg,121.0,23.3,6.7,3.63,350.0,109.0,359.0,30.0,6.8,1.2,4.9
Masala Dosa,0.0,0.0,0.0,Veg,135.0,17.8,12.4,3.87,244.0,276.0,349.0,35.0,1.5,0.3,8.6
Medu Vada,0.0,0.0,0.0,Non-Veg,370.0,2.8,13.6,4.41,152.0,630.0,402.0,53.0,3.7,1.1,9.6
Kanda Poha,1.0,0.0,0.0,Non-Veg,475.0,17.6,7.2,0.9,334.0,560.0,410.0,10.0,7.1,1.3,3.7
Rava Kesari,1.0,1.0,0.0,Non-Veg,172.0,18.3,18.9,0.93,174.0,776.0,450.0,21.0,5.0,1.7,2.4
Thalipeeth,1.0,1.0,1.0,Veg,174.0,26.3,2.1,0.98,387.0,152.0,111.0,51.0,8.5,1.5,6.7
Gatte ki Sabzi,0.0,1.0,1.0,Veg,153.0,25.7,20.4,0.9,228.0,305.0,331.0,22.0,5.3,0.4,7.2
Methi Malai Murg,1.0,0.0,1.0,Non-Veg,421.0,5.2,5.1,4.17,266.0,288.0,127.0,31.0,1.3,1.1,1.8
Dahi Bhalla,1.0,1.0,1.0,Non-Veg,443.0,8.0,4.7,1.31,348.0,210.0,256.0,25.0,7.2,0.6,3.7
Kulfi,1.0,0.0,1.0,Non-Veg,377.0,5.6,16.4,1.44,360.0,409.0,369.0,29.0,9.6,1.1,6.2
Shankarpali,0.0,1.0,0.0,Non-Veg,424.0,25.6,3.5,3.97,75.0,571.0,219.0,43.0,5.4,1.6,4.0
Moong Dal Halwa,1.0,0.0,1.0,Veg,300.0,20.4,20.4,2.06,62.0,352.0,479.0,42.0,6.9,1.3,8.7
Ragi Mudde,1.0,0.0,1.0,Veg,418.0,22.5,20.8,0.59,367.0,641.0,458.0,25.0,3.7,1.1,1.2
Bisi Bele Bath,1.0,0.0,0.0,Non-Veg,167.0,24.1,19.8,3.98,168.0,614.0,420.0,17.0,1.6,0.3,7.2
Neer Dosa,1.0,0.0,0.0,Non-Veg,291.0,26.4,21.8,3.15,176.0,770.0,397.0,11.0,2.5,0.7,4.2
Rajma Chawal,1.0,1.0,0.0,Veg,350.0,12.0,10.0,2.5,150.0,200.0,400.0,50.0,8.0,0.0,5.0
Chole Bhature,0.0,1.0,1.0,Veg,450.0,20.0,12.0,3.0,180.0,300.0,450.0,55.0,7.0,0.0,4.0
Pav Bhaji,1.0,0.0,0.0,Veg,320.0,10.0,8.0,2.0,120.0,250.0,300.0,48.0,6.0,0.0,6.0
Dhokla,1.0,0.0,0.0,Veg,150.0,2.0,4.0,1.5,100.0,150.0,200.0,35.0,4.0,0.0,3.0
Aloo Paratha,1.0,1.0,0.0,Veg,290.0,14.0,9.0,2.8,140.0,180.0,350.0,45.0,5.0,0.0,4.0
Palak Paneer,0.0,1.0,1.0,Veg,300.0,18.0,14.0,3.5,200.0,220.0,400.0,50.0,9.0,0.0,5.0
Butter Chicken,0.0,1.0,1.0,Non-Veg,480.0,25.0,32.0,2.2,250.0,350.0,500.0,52.0,3.0,0.0,3.0
Hyderabadi Biryani,0.0,1.0,1.0,Non-Veg,500.0,22.0,35.0,3.0,220.0,320.0,480.0,60.0,4.0,0.0,4.0
Misal Pav,1.0,0.0,0.0,Veg,280.0,9.0,7.0,1.8,110.0,210.0,310.0,40.0,7.0,0.0,6.0
Baingan Bharta,0.0,1.0,1.0,Veg,200.0,8.0,5.0,2.0,90.0,180.0,270.0,38.0,6.0,0.0,5.0
Kadhi Pakora,0.0,1.0,1.0,Veg,260.0,11.0,6.0,2.5,120.0,190.0,320.0,42.0,7.0,0.0,4.0
Gajar Halwa,0.0,0.0,0.0,Veg,400.0,15.0,10.0,3.2,140.0,200.0,350.0,50.0,8.0,0.0,7.0
Modak,0.0,0.0,0.0,Veg,420.0,18.0,8.0,3.0,160.0,230.0,370.0,55.0,6.0,0.0,6.0
Malai Kofta,0.0,1.0,1.0,Veg,350.0,14.0,12.0,2.5,180.0,250.0,400.0,48.0,7.0,0.0,5.0
Pesarattu,1.0,0.0,0.0,Veg,180.0,6.0,6.0,1.8,130.0,160.0,290.0,30.0,5.0,0.0,3.0
Undhiyu,0.0,1.0,1.0,Veg,270.0,8.0,7.0,2.0,110.0,190.0,310.0,35.0,5.0,0.0,4.0
Makki ki Roti,1.0,0.0,0.0,Veg,250.0,9.0,6.0,2.2,100.0,180.0,300.0,38.0,6.0,0.0,3.0
Sarson da Saag,0.0,1.0,1.0,Veg,280.0,10.0,8.0,2.8,120.0,200.0,350.0,42.0,7.0,0.0,4.0
Litti Chokha,1.0,1.0,1.0,Veg,320.0,11.0,9.0,3.0,140.0,210.0,370.0,45.0,8.0,0.0,5.0
Thepla,1.0,1.0,0.0,Veg,260.0,7.0,6.0,1.5,110.0,170.0,290.0,37.0,6.0,0.0,3.0
